,batsman,innings,runs,batting_team,ball,dismissals,sixes,fours,dots,ones,twos,threes,hundreds,fifties,thirties,highest_score,matches_x,matches_y,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,debut_year,final_year,surname,initial
76,Megan Schutt,14,39.0,Australia,46,12,0,4,18,19,2,0,0.0,0.0,0.0,16.0,14,14,84.78260869565217,3.8333333333333335,11.5,58.97435897435898,3.25,39.130434782608695,2015,2023/24,Schutt,M Schutt
77,Molly Penfold,4,4.0,New Zealand,11,2,0,0,7,4,0,0,0.0,0.0,0.0,2.0,4,4,36.36363636363637,5.5,11.0,36.36363636363637,2.0,63.63636363636363,2023,2024,Penfold,M Penfold
78,Marufa Akter,9,9.0,Bangladesh,28,5,0,0,19,7,1,0,0.0,0.0,0.0,4.0,9,9,32.142857142857146,5.6,28.0,33.33333333333333,1.8,67.85714285714286,2022/23,2024,Akter,M Akter
79,Murshida Khatun,46,1029.0,Bangladesh,1225,49,4,110,551,395,78,3,0.0,9.0,3.0,80.0,46,46,84.0,25.0,10.74561403508772,54.52775073028238,21.0,44.97959183673469,2018,2024,Khatun,M Khatun
80,Nonkululeko Mlaba,7,13.0,South Africa,26,6,0,1,16,9,0,0,0.0,0.0,0.0,5.0,7,7,50.0,4.333333333333333,26.0,36.0,2.1666666666666665,61.53846153846154,2019/20,2024,Mlaba,N Mlaba
81,Nadine de Klerk,39,715.0,South Africa,704,30,7,64,262,293,53,6,0.0,3.0,4.0,74.0,39,39,101.5625,23.466666666666665,9.915492957746478,67.91530944625407,23.833333333333332,37.215909090909086,2017/18,2024,Klerk,N Klerk
82,Nilakshika Silva,71,1196.0,Sri Lanka,1248,73,16,84,443,547,94,8,0.0,3.0,7.0,70.0,71,71,95.83333333333334,17.095890410958905,12.48,69.5054945054945,16.383561643835616,35.496794871794876,2012/13,2024,Silva,N Silva
83,Nat Sciver-Brunt,19,554.0,England,403,15,4,80,124,156,27,0,0.0,3.0,5.0,81.0,19,19,137.46898263027296,26.866666666666667,4.7976190476190474,68.40390879478826,36.93333333333333,30.76923076923077,2022/23,2024,Sciver-Brunt,N Sciver-Brunt
84,Nahida Akter,29,138.0,Bangladesh,202,18,0,10,95,71,12,1,0.0,0.0,0.0,15.0,29,29,68.31683168316832,11.222222222222221,20.2,54.7486033519553,7.666666666666667,47.02970297029702,2015/16,2024,Akter,N Akter
85,Nida Dar,106,2150.0,Pakistan,2111,107,45,185,777,890,122,2,4.0,7.0,5.0,150.0,106,106,101.84746565608715,19.72897196261682,9.178260869565218,63.65159128978225,20.093457943925234,36.807200378967316,2012,2024,Dar,N Dar
86,Nigar Sultana,81,2195.0,Bangladesh,2516,79,14,223,1118,914,141,6,1.0,16.0,16.0,113.0,81,81,87.24165341812402,31.848101265822784,10.61603375527426,55.713630105553,27.78481012658228,44.43561208267091,2015/16,2024,Sultana,N Sultana
87,Phoebe Litchfield,9,191.0,Australia,122,6,10,20,40,35,8,0,0.0,1.0,2.0,52.0,9,9,156.55737704918033,20.333333333333332,4.066666666666666,61.44578313253012,31.833333333333332,32.78688524590164,2022/23,2023/24,Litchfield,P Litchfield
88,Pooja Vastrakar,39,406.0,India,355,27,5,45,132,127,33,1,0.0,0.0,5.0,44.0,39,39,114.36619718309859,13.148148148148149,7.1,66.89419795221842,15.037037037037036,37.183098591549296,2017/18,2024,Vastrakar,P Vastrakar
89,Priyanaz Chatterji,38,497.0,Scotland,600,42,3,41,262,226,37,5,0.0,1.0,5.0,52.0,38,38,82.83333333333334,14.285714285714286,13.636363636363637,59.43396226415094,11.833333333333334,43.666666666666664,2018,2024,Chatterji,P Chatterji
