player_id,batsman,innings,runs,ball,dismissals,sixes,fours,dots,ones,twos,threes,SR,BPD,BPB,NBDRY_SR,AVG,Dot_percentage
1780,Wu Juan,4,14,44,8,0,0,30,10,2,0,31.81818182,5.5,44,33.33333333,1.75,68.18181818
1781,Xiuli Jin,3,13,33,3,0,0,22,7,3,0,39.39393939,11,33,40.625,4.333333333,66.66666667
1782,Xu Qian,4,3,16,4,0,0,12,3,0,0,18.75,4,16,20,0.75,75
1783,Y Anggraeni,3,152,168,6,0,22,78,50,4,2,90.47619048,28,7.636363636,47.76119403,25.33333333,46.42857143
1784,Y Choden,19,147,266,16,0,11,157,58,21,1,55.26315789,16.625,24.18181818,43.45991561,9.1875,59.02255639
1785,Y Daswani,34,452,802,42,0,21,448,243,52,7,56.35910224,19.0952381,38.19047619,49.06666667,10.76190476,55.86034913
1786,Y Fourie,1,8,14,2,0,2,12,0,0,0,57.14285714,7,7,0,4,85.71428571
1787,Y Korniienko,1,6,20,0,0,0,8,3,0,1,30,20,20,50,6,40
1788,Y Potgieter,1,5,7,0,0,1,3,1,0,0,71.42857143,7,7,25,5,42.85714286
1789,Y Sangare,1,0,4,2,0,0,4,0,0,0,0,2,4,0,0,100
1790,Y Verma,4,18,23,5,0,2,13,5,1,1,78.26086957,4.6,11.5,50,3.6,56.52173913
1791,Y Wangmo,3,12,12,1,0,0,4,4,4,0,100,12,12,100,12,33.33333333
1792,Y van der Westhuizen,2,7,9,2,0,1,6,1,1,0,77.77777778,4.5,9,37.5,3.5,66.66666667
1793,YH Bhatia,14,214,247,13,2,24,124,76,15,0,86.63967611,19,9.5,49.30232558,16.46153846,50.20242915
1794,YP Karadogan,1,0,10,1,0,0,10,0,0,0,0,10,10,0,0,100
1795,YS Blagg,3,16,14,0,0,1,3,4,4,0,114.2857143,14,14,109.0909091,5.333333333,21.42857143
1796,YS To,13,176,308,15,0,8,168,74,32,2,57.14285714,20.53333333,38.5,52.17391304,11.73333333,54.54545455
1797,Yadhira Nunez,2,0,7,2,0,0,4,0,0,0,0,3.5,7,0,0,57.14285714
1798,Yang Yu Xuan,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,100
1799,Yasmeen Khan,56,1409,1533,64,12,150,665,408,151,9,91.91128506,23.953125,9.462962963,59.7729116,22.015625,43.37899543
1800,Ying King To,1,5,7,0,0,0,3,1,2,0,71.42857143,7,7,83.33333333,5,42.85714286
1801,Yuanyuan Cai,3,27,23,2,0,5,9,7,0,0,117.3913043,11.5,4.6,43.75,13.5,39.13043478
1802,Yuliana,2,8,18,2,0,0,10,8,0,0,44.44444444,9,18,44.44444444,4,55.55555556
1803,Yusrina Yaakop,16,146,290,24,0,11,188,53,17,5,50.34482759,12.08333333,26.36363636,38.78326996,6.083333333,64.82758621
1804,Z Flamikova,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,100
1805,Z Franova,4,57,115,4,0,4,55,25,8,0,49.56521739,28.75,28.75,46.59090909,14.25,47.82608696
1806,Z James,7,49,72,5,2,3,40,15,5,0,68.05555556,14.4,14.4,41.66666667,9.8,55.55555556
1807,Z Kamara,10,82,129,8,0,10,76,24,9,0,63.56589147,16.125,12.9,38.53211009,10.25,58.91472868
1808,Z Maeva,5,48,65,6,0,9,38,10,1,0,73.84615385,10.83333333,7.222222222,24.48979592,8,58.46153846
1809,Z Mali,1,4,6,0,0,0,4,0,2,0,66.66666667,6,6,66.66666667,4,66.66666667
1810,ZL Win,8,20,55,7,0,0,30,10,5,0,36.36363636,7.857142857,55,44.44444444,2.857142857,54.54545455
1811,ZT Kyaw,8,91,154,7,0,5,83,38,15,1,59.09090909,22,30.8,51.82481752,13,53.8961039
1812,Zay Hua Tan,6,11,48,6,0,0,29,9,1,0,22.91666667,8,48,28.20512821,1.833333333,60.41666667
1813,Zeefa Jilani,24,191,369,22,0,22,228,70,15,1,51.76151762,16.77272727,16.77272727,32.80254777,8.681818182,61.78861789
1814,Zhang Chan,9,106,168,14,0,6,94,34,24,0,63.0952381,12,28,53.94736842,7.571428571,55.95238095
1815,Zhang Mei,8,268,350,12,0,24,162,88,42,0,76.57142857,29.16666667,14.58333333,58.90410959,22.33333333,46.28571429
