,bowler,innings,balls,runs,wkts,sixes,fours,dots,three_wicket_hauls,maiden_overs,fantasy_points,bbi,dot%,avg,fantasy_points_per_match,sr,econ
316,Tuba Hassan,21,324,303,16,1,35,149,1.0,8.0,472,3,45.98765432098765,18.9375,22.476190476190474,20.25,5.611111111111111
317,Tumi Sekhukhune,23,364,338,23,5,34,158,2.0,7.0,699,3,43.40659340659341,14.695652173913043,30.391304347826086,15.826086956521738,5.571428571428571
318,Udeshika Prabodhani,44,689,644,29,8,68,300,1.0,13.0,941,3,43.54136429608128,22.20689655172414,21.386363636363637,23.75862068965517,5.6081277213352685
319,Umaima Sohail,15,219,188,12,0,18,87,2.0,8.0,416,5,39.726027397260275,15.666666666666666,27.733333333333334,18.25,5.1506849315068495
320,Umm-e-Hani,3,66,63,1,0,6,26,0.0,0.0,31,1,39.39393939393939,63.0,10.333333333333334,66.0,5.7272727272727275
321,Waheeda Akhtar,4,72,85,3,0,15,31,0.0,7.0,85,2,43.05555555555556,28.333333333333332,21.25,24.0,7.083333333333333
322,Y Fourie,6,66,76,1,3,6,24,0.0,2.0,41,1,36.36363636363637,76.0,6.833333333333333,66.0,6.909090909090909
323,Y Potgieter,2,7,7,0,0,1,3,0.0,1.0,0,0,42.857142857142854,,0.0,,6.0
324,Yashoda Mendis,1,3,0,0,0,0,2,0.0,0.0,6,0,66.66666666666666,,6.0,,0.0
325,Zaida James,6,39,65,1,1,9,10,0.0,0.0,31,1,25.64102564102564,65.0,5.166666666666667,39.0,10.0
326,Zintle Mali,4,97,124,3,3,13,33,0.0,0.0,87,2,34.02061855670103,41.333333333333336,21.75,32.333333333333336,7.670103092783505
