batsman,runs,ball,innings,matches_x,dismissals,sixes,fours,dots,ones,twos,threes,batting_team,hundreds,fifties,thirties,highest_score,matches_y,fantasy_points,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,fantasy_points_per_match,debut_year,final_year,matches
Renuka Singh,3,6,2,2,1,0,0,2,3,0,0,India,,,,2,2,7,50,6,6,60,3,33.33333333,3.5,2021/22,2023/24,2
Richa Ghosh,526,387,35,35,23,17,68,145,120,16,0,India,,1,6,64,35,1141,135.9173127,16.82608696,4.552941176,54.09252669,22.86956522,37.46770026,32.6,2019/20,2024,35
Rosemary Mair,5,7,5,5,2,0,0,2,5,0,0,New Zealand,,,,2,5,32,71.42857143,3.5,7,71.42857143,2.5,28.57142857,6.4,2019/20,2022,5
Sachini Nisansala,0,1,1,1,1,0,0,1,0,0,0,Sri Lanka,,,,0,1,-2,0,1,1,0,0,100,-2,2024,2024,1
Sadaf Shamas,13,34,3,3,3,0,1,22,9,0,0,Pakistan,,,,13,3,55,38.23529412,11.33333333,34,29.03225806,4.333333333,64.70588235,18.33333333,2022/23,2023/24,3
Sadia Iqbal,5,13,5,5,2,0,0,7,5,0,0,Pakistan,,,,4,5,8,38.46153846,6.5,13,41.66666667,2.5,53.84615385,1.6,2022/23,2024,5
Sajeevan Sajana,30,32,4,4,3,0,4,13,14,0,0,India,,,,11,4,34,93.75,10.66666667,8,51.85185185,10,40.625,8.5,2024,2024,4
Sarah Bryce,647,598,38,38,27,7,73,235,196,51,5,Scotland,,2,7,67,38,1435,108.1939799,22.14814815,7.475,64.27104723,23.96296296,39.29765886,37.76315789,2018,2024,38
Sarah Glenn,116,100,15,15,5,0,16,34,39,5,1,England,,,,26,15,147,116,20,6.25,65.82278481,23.2,34,9.8,2020,2024,15
Saskia Horley,250,226,9,9,8,3,30,89,84,11,2,Scotland,,2,2,61,9,341,110.619469,28.25,6.848484848,60.21505376,31.25,39.38053097,37.88888889,2022,2024,9
Shamilia Connell,14,20,10,10,2,1,0,10,8,0,0,West Indies,,,,7,10,47,70,10,20,44.44444444,7,50,4.7,2015/16,2024,10
Shathi Rani,22,29,4,4,3,0,4,20,4,1,0,Bangladesh,,,,22,4,54,75.86206897,9.666666667,7.25,24,7.333333333,68.96551724,13.5,2023,2023,4
Shemaine Campbelle,393,471,43,43,26,7,25,217,153,46,2,West Indies,,,4,43,43,1063,83.43949045,18.11538462,14.71875,60.04784689,15.11538462,46.07218684,24.72093023,2009/10,2024,43
Shorna Akter,156,159,13,13,6,3,13,63,62,9,2,Bangladesh,,,,28,13,252,98.11320755,26.5,9.9375,63.23529412,26,39.62264151,19.38461538,2022/23,2024,13
Shreyanka Patil,12,16,3,3,1,0,1,7,4,2,0,India,,,,7,3,13,75,16,16,61.53846154,12,43.75,4.333333333,2023/24,2024,3
Sidra Ameen,339,430,33,33,20,0,34,191,153,22,2,Pakistan,,1,3,56,33,949,78.8372093,21.5,12.64705882,55.16304348,16.95,44.41860465,28.75757576,2013/14,2024,33
Sinalo Jafta,58,51,13,13,4,1,5,18,21,4,1,South Africa,,,,16,13,124,113.7254902,12.75,8.5,72.72727273,14.5,35.29411765,9.538461538,2019,2024,13
Smriti Mandhana,1563,1311,90,90,60,35,210,552,398,53,3,India,,9,9,87,90,4201,119.221968,21.85,5.351020408,50.99403579,26.05,42.10526316,46.67777778,2013/14,2024,90
Sobhana Mostary,203,289,24,24,16,0,24,150,77,9,4,Bangladesh,,,,29,24,350,70.24221453,18.0625,12.04166667,44.58333333,12.6875,51.90311419,14.58333333,2021/22,2024,24
Sophia Dunkley,422,400,32,32,22,5,44,154,141,36,1,England,,1,5,56,32,1075,105.5,18.18181818,8.163265306,65.06024096,19.18181818,38.5,33.59375,2018/19,2024,32
Sophie Devine,1563,1281,66,66,48,50,155,462,469,77,5,New Zealand,1,10,13,105,66,3241,122.0140515,26.6875,6.248780488,62.98124383,32.5625,36.06557377,49.10606061,2009,2024,66
Sophie Ecclestone,225,180,27,27,14,9,19,60,69,13,0,England,,,1,33,27,298,125,12.85714286,6.428571429,66.90140845,16.07142857,33.33333333,11.03703704,2017/18,2024,27
Sophie Molineux,38,46,7,7,6,0,4,20,20,1,0,Australia,,,,18,7,44,82.60869565,7.666666667,11.5,53.65853659,6.333333333,43.47826087,6.285714286,2017/18,2023/24,7
Stafanie Taylor,1024,1055,46,46,34,18,96,424,418,54,2,West Indies,,5,12,78,46,2262,97.06161137,31.02941176,9.254385965,59.24276169,30.11764706,40.18957346,49.17391304,2010,2024,46
Sugandika Kumari,49,86,15,15,7,0,3,46,29,4,0,Sri Lanka,,,,10,15,65,56.97674419,12.28571429,28.66666667,46.83544304,7,53.48837209,4.333333333,2014/15,2023,15
Sultana Khatun,12,20,5,5,3,0,1,11,8,0,0,Bangladesh,,,,4,5,34,60,6.666666667,20,42.10526316,4,55,6.8,2023,2024,5
Sune Luus,720,675,54,54,27,9,73,243,276,46,2,South Africa,,3,4,71,54,1396,106.6666667,25,8.231707317,65.96119929,26.66666667,36,25.85185185,2013/14,2023/24,54
Suzie Bates,1641,1477,68,68,47,19,178,547,543,118,12,New Zealand,1,10,13,124,68,3475,111.1035884,31.42553191,7.497461929,66.80327869,34.91489362,37.03452945,51.10294118,2009,2024,68
Syeda Aroob Shah,3,4,2,2,1,0,0,2,1,1,0,Pakistan,,,,2,2,-2,75,4,4,75,3,50,-1,2023,2024,2
Tahlia McGrath,480,379,20,20,13,9,62,140,135,20,1,Australia,,4,2,78,20,1276,126.6490765,29.15384615,5.338028169,60.13513514,36.92307692,36.93931398,63.8,2021/22,2023/24,20
Tazmin Brits,818,713,39,39,26,16,93,286,243,49,3,South Africa,,7,4,81,39,1631,114.7265077,27.42307692,6.541284404,60.24096386,31.46153846,40.11220196,41.82051282,2018,2024,39
Tuba Hassan,24,25,5,5,2,0,3,12,8,2,0,Pakistan,,,,22,5,63,96,12.5,8.333333333,54.54545455,12,48,12.6,2022,2024,5
Tumi Sekhukhune,4,12,2,2,2,0,0,7,4,0,0,South Africa,,,,3,2,2,33.33333333,6,12,36.36363636,2,58.33333333,1,2018/19,2019/20,2
Udeshika Prabodhani,12,26,3,3,2,0,0,14,12,0,0,Sri Lanka,,,,10,3,24,46.15384615,13,26,46.15384615,6,53.84615385,8,2014/15,2016,3
Vishmi Gunaratne,379,434,27,27,21,2,43,205,136,22,5,Sri Lanka,,1,3,73,27,843,87.32718894,20.66666667,9.644444444,52.98913043,18.04761905,47.23502304,31.22222222,2021/22,2024,27
Yastika Bhatia,144,158,10,10,8,1,18,80,48,9,0,India,,,2,36,10,242,91.13924051,19.75,8.315789474,48.17518248,18,50.63291139,24.2,2021/22,2024,10
Zaida James,43,64,5,5,3,2,2,35,15,4,0,West Indies,,,,21,5,48,67.1875,21.33333333,16,42.59259259,14.33333333,54.6875,9.6,2022/23,2024,5
